Kp,Ki,dx_f,time_recognized
0.50,0.01,5.0,19.97
0.50,0.01,10.0,19.92
0.50,0.01,15.0,20.00
0.50,0.01,20.0,14.25
0.50,0.01,25.0,19.92
0.50,0.01,30.0,17.53
0.50,0.02,5.0,19.88
0.50,0.02,10.0,19.98
0.50,0.02,15.0,19.94
0.50,0.02,20.0,14.99
0.50,0.02,25.0,18.17
0.50,0.02,30.0,19.20
0.50,0.03,5.0,19.96
0.50,0.03,10.0,19.97
0.50,0.03,15.0,19.98
0.50,0.03,20.0,15.43
0.50,0.03,25.0,18.16
0.50,0.03,30.0,17.44
0.50,0.04,5.0,17.13
0.50,0.04,10.0,18.48
0.50,0.04,15.0,19.44
0.50,0.04,20.0,20.04
0.50,0.04,25.0,16.89
0.50,0.04,30.0,19.96
0.50,0.05,5.0,19.87
0.50,0.05,10.0,19.97
0.50,0.05,15.0,19.95
0.50,0.05,20.0,20.00
0.50,0.05,25.0,17.48
0.50,0.05,30.0,19.85
0.50,0.06,5.0,19.98
0.50,0.06,10.0,19.97
0.50,0.06,15.0,19.97
0.50,0.06,20.0,20.00
0.50,0.06,25.0,17.35
0.50,0.06,30.0,19.06
0.50,0.07,5.0,19.95
0.50,0.07,10.0,19.95
0.50,0.07,15.0,19.98
0.50,0.07,20.0,15.55
0.50,0.07,25.0,16.67
0.50,0.07,30.0,18.31
0.50,0.08,5.0,19.98
0.50,0.08,10.0,19.99
0.50,0.08,15.0,19.94
0.50,0.08,20.0,14.28
0.50,0.08,25.0,16.74
0.50,0.08,30.0,17.19
0.50,0.09,5.0,19.99
0.50,0.09,10.0,19.77
0.50,0.09,15.0,19.94
0.50,0.09,20.0,19.96
0.50,0.09,25.0,17.98
0.50,0.09,30.0,19.16
0.50,0.10,5.0,19.96
0.50,0.10,10.0,19.99
0.50,0.10,15.0,20.00
0.50,0.10,20.0,15.47
0.50,0.10,25.0,15.71
0.50,0.10,30.0,18.29
1.00,0.01,5.0,19.92
1.00,0.01,10.0,19.90
1.00,0.01,15.0,19.96
1.00,0.01,20.0,17.24
1.00,0.01,25.0,20.02
1.00,0.01,30.0,13.29
1.00,0.02,5.0,19.96
1.00,0.02,10.0,20.03
1.00,0.02,15.0,19.95
1.00,0.02,20.0,17.19
1.00,0.02,25.0,19.95
1.00,0.02,30.0,20.00
1.00,0.03,5.0,20.00
1.00,0.03,10.0,19.86
1.00,0.03,15.0,14.25
1.00,0.03,20.0,15.94
1.00,0.03,25.0,20.01
1.00,0.03,30.0,13.62
1.00,0.04,5.0,19.86
1.00,0.04,10.0,20.00
1.00,0.04,15.0,14.48
1.00,0.04,20.0,17.60
1.00,0.04,25.0,19.98
1.00,0.04,30.0,20.00
1.00,0.05,5.0,19.91
1.00,0.05,10.0,19.93
1.00,0.05,15.0,19.97
1.00,0.05,20.0,19.87
1.00,0.05,25.0,19.99
1.00,0.05,30.0,13.79
1.00,0.06,5.0,19.99
1.00,0.06,10.0,19.98
1.00,0.06,15.0,19.86
1.00,0.06,20.0,20.00
1.00,0.06,25.0,19.96
1.00,0.06,30.0,20.01
1.00,0.07,5.0,20.00
1.00,0.07,10.0,19.96
1.00,0.07,15.0,20.01
1.00,0.07,20.0,16.92
1.00,0.07,25.0,19.92
1.00,0.07,30.0,19.95
1.00,0.08,5.0,19.98
1.00,0.08,10.0,19.86
1.00,0.08,15.0,15.11
1.00,0.08,20.0,9.70
1.00,0.08,25.0,20.00
1.00,0.08,30.0,20.00
1.00,0.09,5.0,19.82
1.00,0.09,10.0,19.96
1.00,0.09,15.0,19.85
1.00,0.09,20.0,18.73
1.00,0.09,25.0,19.89
1.00,0.09,30.0,19.97
1.00,0.10,5.0,20.00
1.00,0.10,10.0,19.64
1.00,0.10,15.0,15.89
1.00,0.10,20.0,17.59
1.00,0.10,25.0,19.99
1.00,0.10,30.0,20.03
1.50,0.01,5.0,19.99
1.50,0.01,10.0,19.97
1.50,0.01,15.0,14.84
1.50,0.01,20.0,19.99
1.50,0.01,25.0,19.98
1.50,0.01,30.0,19.93
1.50,0.02,5.0,19.97
1.50,0.02,10.0,19.98
1.50,0.02,15.0,19.99
1.50,0.02,20.0,17.75
1.50,0.02,25.0,12.21
1.50,0.02,30.0,19.97
1.50,0.03,5.0,19.98
1.50,0.03,10.0,19.98
1.50,0.03,15.0,15.68
1.50,0.03,20.0,19.99
1.50,0.03,25.0,19.91
1.50,0.03,30.0,19.90
1.50,0.04,5.0,19.84
1.50,0.04,10.0,19.93
1.50,0.04,15.0,20.01
1.50,0.04,20.0,20.00
1.50,0.04,25.0,19.96
1.50,0.04,30.0,19.98
1.50,0.05,5.0,20.03
1.50,0.05,10.0,19.97
1.50,0.05,15.0,20.00
1.50,0.05,20.0,16.20
1.50,0.05,25.0,19.90
1.50,0.05,30.0,20.00
1.50,0.06,5.0,20.01
1.50,0.06,10.0,19.94
1.50,0.06,15.0,15.21
1.50,0.06,20.0,15.52
1.50,0.06,25.0,20.00
1.50,0.06,30.0,19.96
1.50,0.07,5.0,19.94
1.50,0.07,10.0,19.97
1.50,0.07,15.0,15.72
1.50,0.07,20.0,19.92
1.50,0.07,25.0,19.98
1.50,0.07,30.0,10.96
1.50,0.08,5.0,19.98
1.50,0.08,10.0,19.97
1.50,0.08,15.0,19.97
1.50,0.08,20.0,15.38
1.50,0.08,25.0,19.89
1.50,0.08,30.0,9.53
1.50,0.09,5.0,19.97
1.50,0.09,10.0,19.99
1.50,0.09,15.0,19.99
1.50,0.09,20.0,16.48
1.50,0.09,25.0,19.98
1.50,0.09,30.0,19.99
1.50,0.10,5.0,19.96
1.50,0.10,10.0,19.99
1.50,0.10,15.0,19.78
1.50,0.10,20.0,16.17
1.50,0.10,25.0,19.86
1.50,0.10,30.0,19.97
2.00,0.01,5.0,19.94
2.00,0.01,10.0,19.85
2.00,0.01,15.0,15.43
2.00,0.01,20.0,19.94
2.00,0.01,25.0,11.12
2.00,0.01,30.0,19.98
2.00,0.02,5.0,20.00
2.00,0.02,10.0,19.96
2.00,0.02,15.0,15.76
2.00,0.02,20.0,19.94
2.00,0.02,25.0,19.91
2.00,0.02,30.0,8.73
2.00,0.03,5.0,19.89
2.00,0.03,10.0,19.95
2.00,0.03,15.0,19.99
2.00,0.03,20.0,19.97
2.00,0.03,25.0,20.00
2.00,0.03,30.0,9.41
2.00,0.04,5.0,20.04
2.00,0.04,10.0,19.96
2.00,0.04,15.0,19.70
2.00,0.04,20.0,19.95
2.00,0.04,25.0,19.97
2.00,0.04,30.0,19.85
2.00,0.05,5.0,20.01
2.00,0.05,10.0,19.88
2.00,0.05,15.0,19.89
2.00,0.05,20.0,20.00
2.00,0.05,25.0,19.89
2.00,0.05,30.0,19.99
2.00,0.06,5.0,19.99
2.00,0.06,10.0,19.98
2.00,0.06,15.0,15.50
2.00,0.06,20.0,19.79
2.00,0.06,25.0,19.98
2.00,0.06,30.0,20.00
2.00,0.07,5.0,19.84
2.00,0.07,10.0,19.98
2.00,0.07,15.0,15.37
2.00,0.07,20.0,20.02
2.00,0.07,25.0,20.04
2.00,0.07,30.0,19.74
2.00,0.08,5.0,19.99
2.00,0.08,10.0,20.00
2.00,0.08,15.0,20.01
2.00,0.08,20.0,19.99
2.00,0.08,25.0,19.95
2.00,0.08,30.0,20.02
2.00,0.09,5.0,20.01
2.00,0.09,10.0,19.85
2.00,0.09,15.0,16.07
2.00,0.09,20.0,20.00
2.00,0.09,25.0,19.99
2.00,0.09,30.0,20.05
2.00,0.10,5.0,19.85
2.00,0.10,10.0,19.88
2.00,0.10,15.0,19.95
2.00,0.10,20.0,19.94
2.00,0.10,25.0,19.98
2.00,0.10,30.0,19.84
2.50,0.01,5.0,19.95
2.50,0.01,10.0,19.99
2.50,0.01,15.0,19.97
2.50,0.01,20.0,19.68
2.50,0.01,25.0,19.98
2.50,0.01,30.0,19.99
2.50,0.02,5.0,19.96
2.50,0.02,10.0,19.75
2.50,0.02,15.0,19.98
2.50,0.02,20.0,19.87
2.50,0.02,25.0,19.98
2.50,0.02,30.0,19.97
2.50,0.03,5.0,19.96
2.50,0.03,10.0,19.88
2.50,0.03,15.0,19.96
2.50,0.03,20.0,19.90
2.50,0.03,25.0,19.97
2.50,0.03,30.0,20.04
2.50,0.04,5.0,19.93
2.50,0.04,10.0,20.03
2.50,0.04,15.0,19.91
2.50,0.04,20.0,19.92
2.50,0.04,25.0,19.99
2.50,0.04,30.0,19.67
2.50,0.05,5.0,20.00
2.50,0.05,10.0,19.96
2.50,0.05,15.0,15.95
2.50,0.05,20.0,19.99
2.50,0.05,25.0,19.99
2.50,0.05,30.0,19.95
2.50,0.06,5.0,19.99
2.50,0.06,10.0,19.99
2.50,0.06,15.0,20.01
2.50,0.06,20.0,20.01
2.50,0.06,25.0,19.93
2.50,0.06,30.0,19.91
2.50,0.07,5.0,20.01
2.50,0.07,10.0,19.99
2.50,0.07,15.0,20.00
2.50,0.07,20.0,19.93
2.50,0.07,25.0,10.28
2.50,0.07,30.0,19.92
2.50,0.08,5.0,19.90
2.50,0.08,10.0,19.86
2.50,0.08,15.0,19.95
2.50,0.08,20.0,20.02
2.50,0.08,25.0,20.01
2.50,0.08,30.0,20.00
2.50,0.09,5.0,19.89
2.50,0.09,10.0,19.97
2.50,0.09,15.0,19.96
2.50,0.09,20.0,19.99
2.50,0.09,25.0,20.01
2.50,0.09,30.0,19.82
2.50,0.10,5.0,19.96
2.50,0.10,10.0,20.03
2.50,0.10,15.0,19.98
2.50,0.10,20.0,19.97
2.50,0.10,25.0,19.95
2.50,0.10,30.0,19.79
3.00,0.01,5.0,19.99
3.00,0.01,10.0,19.95
3.00,0.01,15.0,20.00
3.00,0.01,20.0,19.97
3.00,0.01,25.0,19.99
3.00,0.01,30.0,19.97
3.00,0.02,5.0,19.85
3.00,0.02,10.0,20.00
3.00,0.02,15.0,19.99
3.00,0.02,20.0,19.74
3.00,0.02,25.0,20.02
3.00,0.02,30.0,19.96
3.00,0.03,5.0,19.90
3.00,0.03,10.0,20.04
3.00,0.03,15.0,19.75
3.00,0.03,20.0,19.90
3.00,0.03,25.0,19.91
3.00,0.03,30.0,20.01
3.00,0.04,5.0,20.05
3.00,0.04,10.0,19.98
3.00,0.04,15.0,19.99
3.00,0.04,20.0,19.86
3.00,0.04,25.0,19.95
3.00,0.04,30.0,20.03
3.00,0.05,5.0,19.85
3.00,0.05,10.0,19.96
3.00,0.05,15.0,14.97
3.00,0.05,20.0,11.92
3.00,0.05,25.0,19.87
3.00,0.05,30.0,19.96
3.00,0.06,5.0,19.88
3.00,0.06,10.0,19.99
3.00,0.06,15.0,19.97
3.00,0.06,20.0,20.00
3.00,0.06,25.0,19.99
3.00,0.06,30.0,19.90
3.00,0.07,5.0,20.00
3.00,0.07,10.0,19.94
3.00,0.07,15.0,19.98
3.00,0.07,20.0,19.98
3.00,0.07,25.0,19.95
3.00,0.07,30.0,19.98
3.00,0.08,5.0,20.04
3.00,0.08,10.0,19.94
3.00,0.08,15.0,20.00
3.00,0.08,20.0,19.96
3.00,0.08,25.0,19.98
3.00,0.08,30.0,20.00
3.00,0.09,5.0,20.00
3.00,0.09,10.0,20.05
3.00,0.09,15.0,19.90
3.00,0.09,20.0,20.03
3.00,0.09,25.0,19.92
3.00,0.09,30.0,20.00
3.00,0.10,5.0,19.95
3.00,0.10,10.0,19.97
3.00,0.10,15.0,20.01
3.00,0.10,20.0,19.92
3.00,0.10,25.0,19.93
3.00,0.10,30.0,19.66
3.50,0.01,5.0,19.93
3.50,0.01,10.0,19.99
3.50,0.01,15.0,20.00
3.50,0.01,20.0,20.04
3.50,0.01,25.0,20.00
3.50,0.01,30.0,20.00
3.50,0.02,5.0,19.96
3.50,0.02,10.0,19.99
3.50,0.02,15.0,19.90
3.50,0.02,20.0,19.87
3.50,0.02,25.0,19.98
3.50,0.02,30.0,19.85
3.50,0.03,5.0,19.88
3.50,0.03,10.0,19.97
3.50,0.03,15.0,19.96
3.50,0.03,20.0,20.03
3.50,0.03,25.0,19.96
3.50,0.03,30.0,20.03
3.50,0.04,5.0,19.93
3.50,0.04,10.0,19.98
3.50,0.04,15.0,19.94
3.50,0.04,20.0,19.86
3.50,0.04,25.0,19.89
3.50,0.04,30.0,19.91
3.50,0.05,5.0,19.85
3.50,0.05,10.0,20.01
